"raw","mean","median","time"
39.1, 38.86, 39.04, 1603417763.4797297
39.06, 38.81, 38.63, 1603417763.4797297
39.1, 38.93, 39.06, 1603417763.4797297
39.1, 38.96, 39.06, 1603417763.4797297
39.12, 38.93, 39.06, 1603417763.4797297
39.06, 38.92, 39.06, 1603417763.4797297
38.63, 38.89, 39.06, 1603417763.4797297
39.12, 38.73, 38.63, 1603417763.4797297
39.12, 38.91, 39.05, 1603417763.4797297
39.1, 38.87, 39.04, 1603417763.4797297
38.63, 38.95, 39.1, 1603417763.4797297
38.63, 39.03, 39.1, 1603417763.4797297
39.12, 39.09, 39.11, 1603417763.4797297
39.12, 39.1, 39.12, 1603417763.4797297
39.06, 39.06, 39.12, 1603417763.4797297
39.06, 38.92, 39.06, 1603417763.4797297
