sonar_raw,sonar_mean,sonar_median,lidar_raw,time
27.82,27.79,27.82,23.8,1606224932.474525
27.82,27.82,27.82,23.3,1606224935.477784
27.82,27.82,27.82,23.6,1606224938.4811642
27.8,27.81,27.82,24.5,1606224941.4838126
27.8,27.81,27.8,23.4,1606224944.4869769
27.8,27.81,27.81,24.1,1606224947.48999
27.37,27.81,27.82,24.3,1606224950.4932265
27.8,27.74,27.8,23.7,1606224953.4960845
27.8,27.76,27.8,24.0,1606224956.4992952
27.37,27.77,27.8,23.7,1606224959.5021331
27.82,27.81,27.8,23.9,1606224962.5050573
27.37,27.78,27.8,24.0,1606224965.508201
27.8,27.76,27.8,24.0,1606224968.5117657
27.8,27.79,27.8,24.0,1606224971.5143516
27.8,27.81,27.8,23.4,1606224974.5177054
27.82,27.79,27.8,23.5,1606224977.5204122
27.8,27.81,27.8,23.7,1606224980.5234568
27.82,27.81,27.82,23.8,1606224983.5263398
27.8,27.81,27.8,23.9,1606224986.5296533
27.8,27.8,27.8,24.2,1606224989.5328448
27.8,27.81,27.8,23.4,1606224992.5353227
27.8,27.81,27.8,23.8,1606224995.5383317
27.37,27.81,27.8,23.9,1606224998.541346
27.82,27.81,27.8,24.0,1606225001.5446332
27.8,27.79,27.8,24.0,1606225004.547645
27.8,27.81,27.8,24.2,1606225007.5506132
27.8,27.81,27.8,23.5,1606225010.5535328
27.82,27.81,27.8,23.9,1606225013.5565858
27.8,27.78,27.8,23.9,1606225016.559706
27.8,27.78,27.8,24.6,1606225019.5629625
27.8,27.76,27.8,24.0,1606225022.5658584
27.8,27.69,27.8,23.8,1606225025.568819
27.8,27.72,27.8,23.9,1606225028.5718727
27.8,27.63,27.8,23.8,1606225031.5752277
27.8,27.59,27.59,23.9,1606225034.5783784
27.8,27.74,27.8,24.2,1606225037.581236
27.82,27.76,27.8,23.8,1606225040.5844731
27.37,27.74,27.8,23.9,1606225043.58697
27.8,27.59,27.59,23.8,1606225046.5902283
27.8,27.78,27.8,23.9,1606225049.593569
27.8,27.8,27.8,23.9,1606225052.5961316
27.8,27.63,27.8,23.6,1606225055.5993395
27.37,27.7,27.8,23.6,1606225058.602464
27.37,27.72,27.8,24.1,1606225061.605531
27.8,27.63,27.8,23.5,1606225064.6086388
27.82,27.72,27.8,24.1,1606225067.6117063
27.8,27.59,27.59,23.9,1606225070.6151137
27.8,27.72,27.8,24.4,1606225073.6177838
27.37,27.69,27.8,24.1,1606225076.6208296
27.82,27.76,27.8,24.3,1606225079.624238
27.8,27.65,27.8,24.1,1606225082.6267052
27.8,27.65,27.8,24.1,1606225085.6298726
27.8,27.7,27.8,23.9,1606225088.633175
27.37,27.76,27.8,24.2,1606225091.6361856
27.8,27.72,27.8,23.9,1606225094.6388435
27.82,27.76,27.8,23.8,1606225097.642184
27.8,27.78,27.8,24.0,1606225100.6450546
27.8,27.69,27.8,23.8,1606225103.6482563
27.8,27.56,27.37,24.0,1606225106.6510813
27.37,27.59,27.59,24.0,1606225109.6543248
27.8,27.56,27.37,23.6,1606225112.6575468
27.8,27.67,27.8,24.1,1606225115.6604464
27.8,27.67,27.8,23.7,1606225118.6636262
27.8,27.59,27.59,23.9,1606225121.6666644
27.37,27.76,27.8,23.8,1606225124.669749
27.8,27.65,27.8,24.0,1606225127.672738
27.37,27.76,27.8,24.2,1606225130.6755197
27.37,27.65,27.8,23.9,1606225133.6787956
27.37,27.63,27.8,23.4,1606225136.6818419
27.8,27.69,27.8,24.0,1606225139.684892
27.8,27.76,27.8,23.5,1606225142.6895552
27.37,27.63,27.8,23.8,1606225145.6908383
27.8,27.67,27.8,24.2,1606225148.6937099
27.8,27.67,27.8,23.5,1606225151.6971734
27.82,27.74,27.8,24.1,1606225154.6998334
27.37,27.52,27.37,23.9,1606225157.703007
27.37,27.69,27.8,24.2,1606225160.7062676
27.8,27.76,27.8,24.1,1606225163.7093453
27.8,27.72,27.8,23.8,1606225166.7121243
27.8,27.65,27.8,24.1,1606225169.7150404
27.8,27.72,27.8,23.8,1606225172.718024
27.8,27.76,27.8,24.0,1606225175.721611
27.8,27.8,27.8,23.8,1606225178.724052
27.8,27.74,27.8,23.9,1606225181.7276063
27.8,27.8,27.8,23.7,1606225184.7302165
27.8,27.8,27.8,23.8,1606225187.7334833
27.82,27.78,27.8,24.0,1606225190.7363153
27.8,27.8,27.8,23.7,1606225193.7396977
27.8,27.8,27.8,23.6,1606225196.7426696
27.8,27.8,27.8,24.6,1606225199.7457247
27.8,27.8,27.8,23.9,1606225202.7497628
27.8,27.8,27.8,23.7,1606225205.7518644
27.8,27.8,27.8,24.0,1606225208.7548487
27.8,27.8,27.8,23.7,1606225211.757705
27.8,27.8,27.8,23.9,1606225214.760636
27.8,27.78,27.8,23.6,1606225217.764126
27.82,27.8,27.8,23.8,1606225220.767188
27.8,27.8,27.8,23.7,1606225223.7701714
27.8,27.81,27.8,23.9,1606225226.772742
27.82,27.81,27.8,24.2,1606225229.7756283
27.8,27.78,27.8,24.2,1606225232.7790635
27.8,27.8,27.8,23.4,1606225235.7816708
27.8,27.8,27.8,23.8,1606225238.7852278
27.82,27.8,27.8,23.8,1606225241.7881532
27.37,27.8,27.8,24.1,1606225244.7909608
27.8,27.8,27.8,24.0,1606225247.793942
27.8,27.8,27.8,24.2,1606225250.7970762
27.8,27.8,27.8,23.9,1606225253.8001533
27.8,27.8,27.8,23.6,1606225256.8031785
27.8,27.8,27.8,23.8,1606225259.8066428
27.8,27.8,27.8,24.4,1606225262.8089187
27.8,27.8,27.8,23.9,1606225265.812276
27.8,27.8,27.8,23.4,1606225268.8152003
27.8,27.8,27.8,24.1,1606225271.8195612
27.8,27.81,27.8,24.2,1606225274.821373
27.8,27.8,27.8,23.7,1606225277.8243914
27.8,27.8,27.8,23.8,1606225280.8280787
27.8,27.81,27.8,24.1,1606225283.8301938
27.82,27.81,27.8,23.1,1606225286.8337991
27.8,27.8,27.8,23.9,1606225289.836878
27.8,27.81,27.8,23.6,1606225292.840273
27.8,27.8,27.8,24.2,1606225295.8429494
27.8,27.78,27.8,23.8,1606225298.8459957
27.8,27.8,27.8,23.5,1606225301.8492637
27.8,27.8,27.8,24.1,1606225304.8519847
27.8,27.81,27.8,24.5,1606225307.854991
27.8,27.8,27.8,23.7,1606225310.8580449
27.8,27.78,27.8,23.9,1606225313.860942
27.8,27.78,27.8,23.7,1606225316.8640702
27.8,27.8,27.8,24.0,1606225319.8680913
27.8,27.78,27.8,23.6,1606225322.8701873
27.8,27.8,27.8,23.6,1606225325.873301
27.8,27.8,27.8,24.0,1606225328.8762252
27.8,27.8,27.8,23.8,1606225331.8791697
27.8,27.8,27.8,23.9,1606225334.8836536
27.8,27.8,27.8,23.7,1606225337.885526
27.8,27.8,27.8,24.4,1606225340.8883858
27.8,27.78,27.8,23.8,1606225343.8914137
27.8,27.8,27.8,24.1,1606225346.8947034
27.8,27.8,27.8,23.3,1606225349.8980653
27.8,27.8,27.8,23.5,1606225352.9006553
27.8,27.81,27.8,23.8,1606225355.9039984
27.8,27.8,27.8,24.1,1606225358.906524
27.8,27.78,27.8,24.1,1606225361.9100795
27.8,27.8,27.8,23.8,1606225364.9128518
27.8,27.8,27.8,23.6,1606225367.9158497
27.8,27.8,27.8,23.5,1606225370.9188077
27.8,27.8,27.8,24.3,1606225373.9231465
27.8,27.8,27.8,24.2,1606225376.9252348
27.8,27.8,27.8,23.7,1606225379.9282255
27.8,27.76,27.8,23.8,1606225382.931138
27.8,27.76,27.8,23.6,1606225385.9348354
27.8,27.8,27.8,23.9,1606225388.9373674
27.8,27.78,27.8,24.3,1606225391.9404383
27.8,27.8,27.8,23.7,1606225394.9432948
27.8,27.8,27.8,24.1,1606225397.9465249
27.8,27.8,27.8,24.1,1606225400.9496183
27.8,27.8,27.8,24.2,1606225403.9535944
27.8,27.8,27.8,24.0,1606225406.9559867
27.8,27.8,27.8,23.7,1606225409.9589493
27.8,27.8,27.8,23.9,1606225412.9628067
27.8,27.8,27.8,23.3,1606225415.9646187
27.8,27.8,27.8,24.2,1606225418.9676616
27.8,27.81,27.8,23.7,1606225421.9705985
27.8,27.8,27.8,24.1,1606225424.973727
27.8,27.81,27.8,23.9,1606225427.9759443
27.8,27.8,27.8,23.6,1606225430.9793882
27.8,27.78,27.8,24.3,1606225433.9825714
27.8,27.8,27.8,23.8,1606225436.9866633
27.8,27.8,27.8,24.0,1606225439.9890513
27.8,27.8,27.8,23.7,1606225442.9921165
27.8,27.8,27.8,24.3,1606225445.9950838
27.8,27.8,27.8,23.7,1606225448.9984016
27.8,27.8,27.8,24.0,1606225452.0017433
27.8,27.8,27.8,24.3,1606225455.0049062
27.8,27.8,27.8,23.7,1606225458.0077455
27.8,27.8,27.8,23.7,1606225461.0103788
27.8,27.8,27.8,23.8,1606225464.0134525
27.8,27.8,27.8,23.5,1606225467.0163784
27.8,27.8,27.8,24.0,1606225470.0193162
27.8,27.78,27.8,23.7,1606225473.022516
27.8,27.8,27.8,23.7,1606225476.0257657
27.8,27.8,27.8,23.4,1606225479.0286143
27.8,27.8,27.8,24.0,1606225482.0315049
27.8,27.8,27.8,24.1,1606225485.0346644
27.8,27.81,27.8,23.6,1606225488.037386
27.8,27.8,27.8,23.7,1606225491.0407825
27.8,27.8,27.8,24.3,1606225494.0439837
27.8,27.81,27.8,24.1,1606225497.0468209
27.8,27.81,27.8,24.2,1606225500.0499065
27.8,27.8,27.8,24.0,1606225503.0526083
27.8,27.81,27.8,23.8,1606225506.055912
27.8,27.81,27.8,24.2,1606225509.0588617
27.8,27.8,27.8,23.6,1606225512.0619543
27.8,27.81,27.8,23.6,1606225515.064894
27.82,27.8,27.8,24.2,1606225518.0682013
27.8,27.8,27.8,23.8,1606225521.0717356
27.8,27.8,27.8,24.0,1606225524.0740502
27.8,27.81,27.8,24.0,1606225527.077144
27.8,27.8,27.8,24.2,1606225530.080822
27.8,27.8,27.8,24.1,1606225533.0832126
27.8,27.8,27.8,23.8,1606225536.0870373
